"Customweb_UnzerCw::!label (Live)","!label (Live)"
"Customweb_UnzerCw::You may choose one of your stored payment details.","You may choose one of your stored payment details."
"Customweb_UnzerCw::You will be redirect to the order confirmation page.","You will be redirected to the order confirmation page."
"Customweb_UnzerCw::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page."
"Customweb_UnzerCw::Your checkout session expired.","Your checkout session expired."
"Customweb_UnzerCw::Your payment is currently pending.","Your payment is currently pending."
"Customweb_UnzerCw::UnzerCw Aliases","UnzerCw Aliases"
"Customweb_UnzerCw::____paymentMethodName____","____paymentMethodName____"
"Customweb_UnzerCw::Unzer","Unzer"
"Customweb_UnzerCw::Unzer Aliases","Unzer Aliases"
"Customweb_UnzerCw::Unzer Authorization ID","Unzer Authorization ID"
"Customweb_UnzerCw::Unzer Basket ID","Unzer Basket ID"
"Customweb_UnzerCw::Unzer Canceled Amount","Unzer Canceled Amount"
"Customweb_UnzerCw::Unzer Charge ID","Unzer Charge ID"
"Customweb_UnzerCw::Unzer Charged Amount","Unzer Charged Amount"
"Customweb_UnzerCw::Unzer Customer ID","Unzer Customer ID"
"Customweb_UnzerCw::Unzer Error","Unzer Error"
"Customweb_UnzerCw::Unzer Metadata ID","Unzer Metadata ID"
"Customweb_UnzerCw::Unzer Parameters","Unzer Parameters"
"Customweb_UnzerCw::Unzer Payment ID","Unzer Payment ID"
"Customweb_UnzerCw::Unzer Refund Items","Unzer Refund Items"
"Customweb_UnzerCw::Unzer Remaining Amount","Unzer Remaining Amount"
"Customweb_UnzerCw::Unzer Section","Unzer Section"
"Customweb_UnzerCw::Unzer Short ID","Unzer Short ID"
"Customweb_UnzerCw::Unzer Total Amount","Unzer Total Amount"
"Customweb_UnzerCw::Unzer Trace ID","Unzer Trace ID"
"Customweb_UnzerCw::Unzer Trace ID (processing)","Unzer Trace ID (processing)"
"Customweb_UnzerCw::Unzer Transactions","Unzer Transactions"
"Customweb_UnzerCw::Unzer Type ID","Unzer Type ID"
"Customweb_UnzerCw::Unzer Unique ID","Unzer Unique ID"
"Customweb_UnzerCw::Unzer: Alias Management","Unzer: Alias Management"
"Customweb_UnzerCw::customweb ltd","customweb ltd"
"Customweb_UnzerCw::no","No"
"Customweb_UnzerCw::or","or"
"Customweb_UnzerCw::yes","Yes"
